id_autor_gs,full_name,country,result_found,first_name,last_name,probability,gender,samples
Qlv6hdwAAAAJ,Ariel Pérez,CL,True,Ariel,Pérez,0.99,male,378
Aep1ozwAAAAJ,Beatriz Urrutia Quiroz.,CL,True,Beatriz,Urrutia,0.98,female,218
QCL0hrcAAAAJ,Daniela Poblete-Godoy,CL,True,Daniela,Poblete-Godoy,0.97,female,1780
Tidac3-DoCsC,Maria Olga Undurraga,CL,True,Maria Olga,Undurraga,0.9,female,10
CiUmYnQAAAAJ,Mauricio Alejandro Mercado Aravena,CL,True,Mauricio Alejandro,Aravena,1,male,2923
UOuwAz0AAAAJ,Patricio Alejandro Chandía Peña,CL,True,Patricio Alejandro,Peña,1,male,26
jmetMDsAAAAJ,John Allan Sandoval Velasco,CL,True,John Allan,Velasco,1,male,223
88g6arsAAAAJ,Gonzalo Ignacio Valdivia Ulloa,CL,True,Gonzalo Ignacio,Ulloa,0.99,male,1879
CGhWD3kAAAAJ,Rafael Eduardo López-Guerrero,CL,True,Rafael Eduardo,López-Guerrero,1,male,5
uYtPqbMAAAAJ,Darío A. González,CL,True,Darío,González,1,male,24
ECKSwAYAAAAJ,Judith Elizabeth Vergara-Figueroa,CL,True,Judith Elizabeth,Vergara-Figueroa,0.97,female,755
8QyxIU4AAAAJ,Gabriel A. Rojas,CL,True,Gabriel,Rojas,1,male,736
PmcqNOYAAAAJ,miguel gonzalez lorenzo,CL,True,Miguel Lorenzo,Gonzalez,0.99,male,1113
g6xCSREAAAAJ,Pamela Carvallo Semler,CL,True,Pamela,Carvallo,0.98,female,922
4FjpTF4AAAAJ,Johana Teresa Contreras Contreras,CL,True,Johana Teresa,Contreras,0.99,female,276
MsThHmcAAAAJ,Ian Henriquez,CL,True,Ian,Henriquez,0.98,male,65
ZGbft74AAAAJ,Isabel M. Aguilera,CL,True,Isabel,Aguilera,0.99,female,432
AXOIzmcAAAAJ,Francisco Fuica,CL,True,Francisco,Fuica,1,male,2108
m6iJsOkAAAAJ,Janet Elizabeth Altamirano Droguett,CL,True,Janet Elizabeth,Droguett,0.97,female,700
LNuFnW0AAAAJ,Fúrica Poblete,CL,True,Poblete,Fúrica,0.5,unknown,2
Mb7fw1kAAAAJ,Fernando Oyarce Ortuya,CL,True,Fernando,Oyarce,1,male,1212
UUVk1qkAAAAJ,Gonzalo Monge M.,CL,True,Gonzalo,Monge,0.99,male,1005
x1uv4hAAAAAJ,Maria Elena Reyes,CL,True,Maria Elena,Reyes,0.98,female,89
8uzNMJ8AAAAJ,Nitesh Verma,CL,True,Nitesh,Verma,1,male,4492
BWxnTr8AAAAJ,Andrés Roldán Tonioni,CL,True,Andrés,Tonioni,1,male,331
N73Nj4UAAAAJ,Antonio Diaz Morales,CL,True,Antonio,Morales,0.99,male,448
Z0C4AqYAAAAJ,Karla Alejandra Campaña Vilo,CL,True,Karla Alejandra,Vilo,0.98,female,1561
xjFvvVQAAAAJ,Francisca Villavicencio Tejo,CL,True,Francisca,Villavicencio,0.98,female,1076
-vvdk_AAAAAJ,Alejandro Valdés-Jiménez,CL,True,Alejandro,Valdés-Jiménez,1,male,1564
Omva7zMAAAAJ,Zeinab Gharibi,CL,True,Zeinab,Gharibi,0.99,female,1576
P0o-Gu8AAAAJ,Paula Garcia Milla,CL,True,Paula,Milla,0.98,female,919
ICN5Xb8AAAAJ,Rodrigo Santander Massa,CL,True,Rodrigo,Santander,0.99,male,2771
IeJ6KyMAAAAJ,Cristian Medina,CL,True,Cristian,Medina,1,male,2566
iQoSQvcAAAAJ,Karem Gallardo,CL,True,Karem,Gallardo,0.97,female,39
j_-rH0IAAAAJ,Iván Santelices Malfanti,CL,True,Iván,Santelices,1,male,134
sSOJbRMAAAAJ,Constanza Olguín Gutiérrez - ORCID 0000-0002-6782-8553,CL,True,Constanza,Gutiérrez,0.98,female,943
FrXsf8EAAAAJ,Gina Inostroza Retamal,CL,True,Gina,Retamal,0.98,female,44
U4AlnOQAAAAJ,Dr. Rodrigo Antonio Urzúa Leiva,CL,True,Rodrigo Antonio,Leiva,1,male,23
Xjil0m0AAAAJ,María Gabriela Olate Morales,CL,True,María Gabriela,Morales,1,female,3
XtPA7IkAAAAJ,Yandi Gallego Landera,CL,True,Yandi Gallego,Landera,0.92,male,375
AOGiNqwAAAAJ,Jeannette Zarraga,CL,True,Jeannette,Zarraga,1,female,151
ptaOpQ4AAAAJ,Catalina Ramírez-Contreras,CL,True,Catalina,Ramírez-Contreras,0.97,female,867
r6CwWGoAAAAJ,Germain Pastén,CL,True,Germain,Pastén,1,male,6
CIBImoYAAAAJ,Francisco Silva-Díaz,CL,True,Francisco,Silva-Díaz,1,male,2108
Kg6TJXoAAAAJ,Tatiane Kosimenko Ferrari Figueiredo,CL,True,Tatiane,Ferrari,1,female,5
HY0kqFEAAAAJ,Marjorie Baquedano-Rodríguez,CL,True,Marjorie,Baquedano-Rodríguez,0.97,female,145
0hM70hcAAAAJ,Norma Salgado-Orellana,CL,True,Norma,Salgado-Orellana,0.99,female,79
6CU1U6IAAAAJ,Margrethe Olesen Arancibia,CL,True,Margrethe,Arancibia,1,female,112
196pSIoAAAAJ,Paulina Liberman,CL,True,Paulina,Liberman,0.98,female,961
KX01m3oAAAAJ,Mart Susi,CL,True,Mart,Susi,0.84,male,1929
0jU-UZ8AAAAJ,Andrés Carvallo,CL,True,Andrés,Carvallo,1,male,331
9IhqNAkAAAAJ,Pamela Rojas,CL,True,Pamela,Rojas,0.98,female,922
P_RcAFcAAAAJ,Andrés Rojas-Böttner,CL,True,Andrés,Rojas-Böttner,1,male,331
ljEpojcAAAAJ,Freddy Andrés Guzmán Garcés,CL,True,Freddy Andrés,Garcés,1,male,500
gmt5lyMAAAAJ,Camila Muñoz Gutiérrez,CL,True,Camila,Gutiérrez,0.98,female,1616
mjz6eNwAAAAJ,Felipe A. Veloso,CL,True,Felipe,Veloso,1,male,2439
yzwovAoAAAAJ,Linette Salvo-Sepúlveda (ORCID: 0000-0003-4653-7607),CL,True,Linette Salvo-Sepúlveda Oooo-Ooö-Agse-?go??,(orcid:,0,unknown,0
wg0GmYAAAAAJ,SHRABANA SARKAR,CL,True,Shrabana,Sarkar,1,female,8
dFInkAkAAAAJ,Audy Salcedo,CL,True,Audy,Salcedo,0.67,male,282
OKIqJq0AAAAJ,"Carolina A. Oliva, PhD",CL,True,Carolina,Oliva,0.98,female,2204
ZnbIKeUAAAAJ,Hugo S. Díaz,CL,True,Hugo,Díaz,0.99,male,452
JJAmfBsAAAAJ,Juan Chirinos Colina,CL,True,Juan,Chirinos,1,male,1749
LkSYbKQAAAAJ,Verónica Anaya Domínguez,CL,True,Verónica,Domínguez,0.99,female,176
lEqjfuQAAAAJ,María Consuelo Medina,CL,True,María Consuelo,Medina,0.8,female,5
5mPFivQAAAAJ,Cecilia del Carmen Bustos Ávila,CL,True,Cecilia Del Carmen,Ávila,0.98,female,1042
nQU7UzgAAAAJ,ricardo Ignacio Castro cepeda,CL,True,Ricardo Ignacio,Cepeda,1,male,2134
kh5fk8cAAAAJ,Priscila Ellen Pinto Marconcin,CL,True,Priscila Ellen,Pinto,1,female,128
ccrI1ZcAAAAJ,Jacqueline Alejandra Araneda Flores,CL,True,Jacqueline Alejandra,Flores,0.98,female,1539
tDdKdwkAAAAJ,Diego Ignacio Gallardo Mateluna,CL,True,Diego Ignacio,Mateluna,1,male,2534
fw_Qdj0AAAAJ,Cristian Luis Villavicencio Reyes,CL,True,Cristian Luis,Reyes,1,male,4879
0NVNCjAAAAAJ,Alberto Enrique Pérez,CL,True,Alberto Enrique,Pérez,1,male,649
ZXIN3vIAAAAJ,Karen Bohmwald,CL,True,Karen,Bohmwald,0.99,female,674
OlESAvcAAAAJ,Ana Carolina Leme,CL,True,Ana Carolina,Leme,0.93,female,14
RpjsvaYAAAAJ,Agatha Nogueira Previdelli,CL,True,Agatha,Previdelli,0.86,female,7
7i3-nJcAAAAJ,Claudio Hernández-Mosqueira,CL,True,Claudio,Hernández-Mosqueira,0.99,male,1560
UjZMQoMAAAAJ,Ronald Mennickent,CL,True,Ronald,Mennickent,0.99,male,132
oDsvX3AAAAAJ,Doris Soto,CL,True,Doris,Soto,0.96,female,77
KYJsS5UAAAAJ,Patricio Órdenes,CL,True,Patricio,Órdenes,1,male,1407
_Jtt9Z8AAAAJ,Diana Muñoz-Álvarez,CL,True,Diana,Muñoz-Álvarez,0.99,female,150
b0uzwlEAAAAJ,Renzo Briceño,CL,True,Renzo,Briceño,1,male,38
be6_L34AAAAJ,Javiera Santana,CL,True,Javiera,Santana,0.98,female,927
fC8cCHwAAAAJ,Luis Felipe Medina,CL,True,Luis Felipe,Medina,1,male,67
ryxzohUAAAAJ,Anibal Olivera Morales,CL,True,Anibal,Morales,1,male,91
xtPMFKgAAAAJ,Rodrigo Jara Bustos,CL,True,Rodrigo,Bustos,0.99,male,2771
0OSrkrkAAAAJ,Jean Paul Sepúlveda Salgado,CL,True,Jean Paul,Salgado,0.99,male,219
Aj63rHgAAAAJ,Yves Echeverria Muñoz,CL,True,Yves,Muñoz,1,male,3
J7v-JXoAAAAJ,Camilo H. Salazar-Silva,CL,True,Camilo,Salazar-Silva,1,male,559
M0hwGZoAAAAJ,Camila Sandoval-Herrera,CL,True,Camila,Sandoval-Herrera,0.98,female,1616
QwmVQ14AAAAJ,Luisbel González Pérez de Medina,CL,True,González Pérez,de Medina,0.64,male,56
WUlT8voAAAAJ,Daniel Moreno-Cartagena,CL,True,Daniel,Moreno-Cartagena,1,male,1613
XGf4y8MAAAAJ,Alfredo Rivas (ORCID: 0009-0007-2338-494X),CL,True,Alfredo,Rivas,1,male,279
_oyXBp4AAAAJ,Daniel Antivero (ORCID: 0009-0008-9551-523X),CL,True,Daniel,Antivero (orcid:,1,male,1613
q84-iVoAAAAJ,Felipe Barros Cárdenas,CL,True,Felipe,Cárdenas,1,male,2439
yFxpdnoAAAAJ,Javier Vidal Fort,CL,True,Javier,Vidal,1,male,1272
9QX9tNIAAAAJ,Carolina Concha-Ramirez,CL,True,Carolina,Concha-Ramirez,0.98,female,2204
BNmfFBAAAAAJ,Sebastián Cid Gutiérrez,CL,True,Sebastián,Gutiérrez,1,male,409
GVxq6RwAAAAJ,Montserrat Cubillos,CL,True,Montserrat,Cubillos,0.97,female,34
JDK4iQIAAAAJ,Manuel Montemurro,CL,True,Manuel,Montemurro,0.99,male,1164
XYPX7JcAAAAJ,Montserrat Belinchón,CL,True,Montserrat,Belinchón,0.97,female,34
Y1FTePYAAAAJ,MARIA PAZ MARTINEZ MOLINA,CL,True,Maria Paz Martinez,Molina,0.97,female,824
ufIVQE0AAAAJ,Francisco Herrera Muñoz,CL,True,Francisco,Muñoz,1,male,2108
-oAuAfIAAAAJ,Pablo Becerra Sotelo,CL,True,Pablo,Sotelo,1,male,2045
4EUGUs8AAAAJ,Priscilla Brevis-Cartes,CL,True,Priscilla,Brevis-Cartes,0.99,female,130
3i_TWT0AAAAJ,Maximiliano Molina-Guenante,CL,True,Maximiliano,Molina-Guenante,1,male,277
6RnlXGoAAAAJ,Sebastián Nicolás Cavour Araya,CL,True,Sebastián Nicolás,Araya,1,male,804
I-FdLfkAAAAJ,Eduardo Pedreros Echeverría,CL,True,Eduardo,Echeverría,0.99,male,1416
JfYFVrAAAAAJ,Nicolas O. Zambrano,CL,True,Nicolas,Zambrano,1,male,936
SGKtb40AAAAJ,MERY LAURA BALLESTEROS CARDENAS,CL,True,Mery Laura,Cardenas,0.97,female,306
Sx2TebkAAAAJ,Cristian Pérez-Gallardo,CL,True,Cristian,Pérez-Gallardo,1,male,2566
VqY37MQAAAAJ,Manuel Campos Díaz,CL,True,Manuel,Díaz,0.99,male,1164
cMkmFgsAAAAJ,Claudia Garcia_Lima,CL,True,Claudia,Garcia_Lima,0.97,female,1751
cWd-cyEAAAAJ,Sebastián Ayala,CL,True,Sebastián,Ayala,1,male,409
frvmDegAAAAJ,Ignacia Rodríguez Balbontín,CL,True,Ignacia,Rodríguez,0.97,female,119
iamZmjEAAAAJ,Marcelo López González,CL,True,Marcelo,González,1,male,1214
i5Nf5OgAAAAJ,Santiago Bedoya,CL,True,Santiago,Bedoya,0.99,male,146
lIupCzYAAAAJ,Raúl Astete,CL,True,Raúl,Astete,1,male,130
nbOJV0IAAAAJ,Felipe Durán Garcés,CL,True,Felipe,Garcés,1,male,2439
DNxg7i4AAAAJ,Felipe Rifo,CL,True,Felipe,Rifo,1,male,2439
FNktLugAAAAJ,Paula Madrid Marambio,CL,True,Paula,Marambio,0.98,female,919
ysg2KvIAAAAJ,Andres Leiva-Araos,CL,True,Andres,Leiva-Araos,1,male,976
zpMc_CMAAAAJ,Juan Pablo Sims Sève,CL,True,Juan Pablo,Sims,1,male,3794
-sC4mzkAAAAJ,Macarena Sanhueza-Muñoz,CL,True,Macarena,Sanhueza-Muñoz,0.98,female,627
2X01INIAAAAJ,Camila Navarrete-Valladares,CL,True,Camila,Navarrete-Valladares,0.98,female,1616
2nQoX5AAAAAJ,Narciso Aguilera Marín,CL,True,Narciso,Marín,1,male,4
Geq6FC8AAAAJ,Nelson Villalba Riquelme,CL,True,Nelson,Riquelme,1,male,416
HAzNItcAAAAJ,Sebastian Sanhueza,CL,True,Sebastian,Sanhueza,0.99,male,1533
SrpnnhYAAAAJ,Jorge Adrián Oviedo Reyes,CL,True,Jorge Adrián,Reyes,0.99,male,2364
_q58xiYAAAAJ,Jaime Mendez Contreras,CL,True,Jaime,Contreras,1,male,907
fqBVN9kAAAAJ,Ramón Cobo Rendón,CL,True,Ramón,Cobo,1,male,42
isjomXEAAAAJ,Matías Betancur,CL,True,Matías,Betancur,1,male,183
lGjZwYcAAAAJ,Isaac Bermúdez Montiel,CL,True,Isaac,Montiel,1,male,83
tqwTUz8AAAAJ,Roberto Fustos Toribio,CL,True,Roberto,Toribio,1,male,986
Bg7ZHiAAAAAJ,Marcelo Miranda-Cavallieri (ORCID:0000-0002-0535-5631),CL,True,Marcelo,(orcid:0000-0002-0535-5631),1,male,1214
PSDNuawAAAAJ,Lucia Rossel,CL,True,Lucia,Rossel,0.98,female,122
kHiDjMsAAAAJ,GILDA BILBAO VILLEGAS,CL,True,Gilda,Villegas,0.97,female,34
rwS9PrsAAAAJ,David Weinstein,CL,True,David,Weinstein,1,male,1001
2F1uZD4AAAAJ,Esteban Alarcón Barrueto,CL,True,Esteban,Alarcón,1,male,674
4COCcC8AAAAJ,Gabriela Rocío Parra-Monje,CL,True,Gabriela Rocío,Parra-Monje,0.98,female,674
B404yMwAAAAJ,Yaime Fernández Jiménez,CL,True,Yaime Fernández,Jiménez,0.75,male,36
SaqNLAkAAAAJ,Anibal Neira,CL,True,Anibal,Neira,1,male,91
WJzuZoAAAAAJ,Felipe Agurto Sepulveda,CL,True,Felipe,Sepulveda,1,male,2439
50VtuL0AAAAJ,Claudia Reyes,CL,True,Claudia,Reyes,0.97,female,1751
DyKbINUAAAAJ,Javiera Gallardo,CL,True,Javiera,Gallardo,0.98,female,927
urar_JwAAAAJ,Hugo Contreras Gómez,CL,True,Hugo Contreras,Gómez,0.99,male,455
JqTxoC0AAAAJ,Carlos Navarrete,CL,True,Carlos,Navarrete,1,male,2782
OBB6vIIAAAAJ,Sebastián Pons,CL,True,Sebastián,Pons,1,male,409
PXVVltwAAAAJ,Cynthia Sanhueza Riffo,CL,True,Cynthia,Riffo,0.97,female,196
WU1pslwAAAAJ,Letícia Lira Tacca,CL,True,Letícia Tacca,Lira,0.98,female,2596
71RewpkAAAAJ,Mauricio Bravo,CL,True,Mauricio,Bravo,1,male,1359
T8XYMZQAAAAJ,Nicolas Gonzalez Raposo,CL,True,Nicolas,Gonzalez,1,male,936
bmUdTdcAAAAJ,Paulina Guzman M,CL,True,Paulina,Guzman,0.98,female,961
6WDf1dwAAAAJ,Javier Freire,CL,True,Javier,Freire,1,male,1272
o2SuMuAAAAAJ,Diego Becerra,CL,True,Diego,Becerra,1,male,1660
5J31IGcAAAAJ,Hector Velazquez,CL,True,Hector,Velazquez,1,male,612
vjGp0YMAAAAJ,Pamela Ramirez-Peña,CL,True,Pamela,Ramirez-Peña,0.98,female,922
9iUFmtcAAAAJ,Andrea Beyer,CL,True,Andrea,Beyer,0.98,female,1292
kIfzrdAAAAAJ,Alejandra Figueroa-Vargas,CL,True,Alejandra,Figueroa-Vargas,0.98,female,1200
8mR8HH0AAAAJ,Leonardo Sanhueza,CL,True,Leonardo,Sanhueza,1,male,517
QiXvC7MAAAAJ,Armando Rojas Jara,CL,True,Armando,Jara,1,male,87
E4zPJ1wAAAAJ,Boris Parra,CL,True,Boris,Parra,0.99,male,210
bCNPEh0AAAAJ,Jorge Poblete,CL,True,Jorge,Poblete,0.99,male,2344
lQ1qhAwAAAAJ,Victor Baeza,CL,True,Victor,Baeza,1,male,1162
pVexCVEAAAAJ,Valentina Vallejos,CL,True,Valentina,Vallejos,0.97,female,748
UFHzS-AAAAAJ,Alejandro Sánchez Oñate,CL,True,Alejandro,Oñate,1,male,1564
v_6kAGQAAAAJ,Ximena Díaz-Torrente,CL,True,Ximena,Díaz-Torrente,0.98,female,498
2qe1pu8AAAAJ,Ignacio Valenzuela Martínez,CL,True,Ignacio,Martínez,0.99,male,874
RwHI-88AAAAJ,Angélica Avendaño Veloso,CL,True,Angélica,Veloso,0.97,female,70
TGG9L-0AAAAJ,Felipe J. Quezada,CL,True,Felipe,Quezada,1,male,2439
jkOAgcQAAAAJ,Cristian Inzunza,CL,True,Cristian,Inzunza,1,male,2566
jw-Jk3YAAAAJ,"Álvarez, C",CL,True,Álvarez,C,0.75,male,4
60l1ZHoAAAAJ,Constanza Arriagada,CL,True,Constanza,Arriagada,0.98,female,943
ClLkAckAAAAJ,Ramon Arrue,CL,True,Ramon,Arrue,1,male,113
gmsJGrkAAAAJ,Pedro Vidal-Szabó,CL,True,Pedro,Vidal-Szabó,1,male,848
SV2qU0cAAAAJ,Jesus A Ramirez,CL,True,Jesus,Ramirez,0.97,male,134
r_LElVkAAAAJ,Ravi Prakash,CL,True,Ravi,Prakash,0.99,male,28148
wUHW93AAAAAJ,Emmanuel Vega Román,CL,True,Emmanuel,Román,1,male,72
l-yFZEYAAAAJ,M.I.Sanhueza,CL,False,,,,,
pjMy9xMAAAAJ,Paula Farías Cartes,CL,True,Paula,Cartes,0.98,female,919
qw1gjf0AAAAJ,Dino Sepúlveda Viveros,CL,True,Dino,Viveros,1,male,14
HI00fQgAAAAJ,Cristian Pedreros-Rosales,CL,True,Cristian,Pedreros-Rosales,1,male,2566
tXkQQS8AAAAJ,Jonnathan Álvarez,CL,True,Jonnathan,Álvarez,1,male,11
9GBkPyoAAAAJ,Nicolas Pavez,CL,True,Nicolas,Pavez,1,male,936
LCGbZ90AAAAJ,Inelvis Castro Cabrera,CL,True,Castro,Cabrera,0.91,male,908
hTZpJaIAAAAJ,Enrique Ostria-Gallardo,CL,True,Enrique,Ostria-Gallardo,0.99,male,340
vpU18fQAAAAJ,Sylvia Palma-Heldt,CL,True,Sylvia,Palma-Heldt,0.97,female,63
S2x4WoIAAAAJ,Manuel Flores-Concha,CL,True,Manuel,Flores-Concha,0.99,male,1164
btoC6poAAAAJ,Karel Vives Hernandez,CL,True,Karel,Hernandez,0.5,unknown,4
ZouS3GUAAAAJ,Josefina Larraín Valenzuela,CL,True,Josefina,Valenzuela,0.99,female,107
DQIkyR8AAAAJ,Amado Villalobos-Leiva,CL,True,Amado,Villalobos-Leiva,0.97,male,746
DiWZeNwAAAAJ,Liliana Cuadra Montoya,CL,True,Liliana,Montoya,0.98,female,141
SgpS-QoAAAAJ,Santiago Rojas-Rojas,CL,True,Santiago,Rojas-Rojas,0.99,male,146
gEZ3dX4AAAAJ,Matías E. Rodríguez-Rivas,CL,True,Matías,Rodríguez-Rivas,1,male,183
xXY_u7QAAAAJ,Eder Ramírez,CL,True,Eder,Ramírez,1,male,15
yIsMncEAAAAJ,Bárbara Jerez Henríquez,CL,True,Bárbara,Henríquez,0.99,female,217
Cb99zdAAAAAJ,Andrea Monica D. Ortiz (Monica Ortiz),CL,True,Andrea Monica,Ortiz,0.98,female,1685
RSERSy8AAAAJ,Alexis Vielma-Aguilera,CL,True,Alexis,Vielma-Aguilera,0.98,male,527
4zWy4dwAAAAJ,Eimmy Ramirez,CL,True,Eimmy,Ramirez,0.83,female,12
JiHKXjoAAAAJ,Mayra Marino,CL,True,Mayra,Marino,1,female,44
fmXrzusAAAAJ,Elochukwu Agudosi,CL,True,Elochukwu,Agudosi,0.94,male,51
xhplS3kAAAAJ,Adriana Santodomingo Santodomingo,CL,True,Adriana,Santodomingo Santodomingo,0.96,female,164
PLZsJtIAAAAJ,Carlos Hidalgo-Garrido,CL,True,Carlos,Hidalgo-Garrido,1,male,2782
RiZQTI4AAAAJ,Angie Neira,CL,True,Angie,Neira,1,female,48
t-qGGEAAAAAJ,Angel Alberto Florez,CL,True,Alberto,Angel,1,male,309
4nwKMJcAAAAJ,Juan Luis Castillo-Navarrete,CL,True,Juan Luis,Castillo-Navarrete,0.98,male,61
KqTGRpEAAAAJ,Víctor Guzmán-Fierro,CL,True,Víctor,Guzmán-Fierro,0.99,male,133
HGZrUesAAAAJ,Isabel Rada,CL,True,Isabel,Rada,0.99,female,432
sLyJACIAAAAJ,Jorge Figueroa-Zúñiga,CL,True,Jorge,Figueroa-Zúñiga,0.99,male,2344
FzAXp7kAAAAJ,Velasquez German,CL,True,Germán,Velasquez,0.8,male,5
nvY3TWsAAAAJ,Pablo Luna Villouta,CL,True,Pablo,Luna,1,male,2045
2n5CRcoAAAAJ,Pablo Reyes-Contreras,CL,True,Pablo,Reyes-Contreras,1,male,2045
S6elPSQAAAAJ,Alejandra Brito Peña,CL,True,Alejandra,Peña,0.98,female,1200
EykRCy0AAAAJ,Rosa Figueroa,CL,True,Rosa,Figueroa,0.98,female,314
83zqbx8AAAAJ,Dr Moorthy Mathivanan,CL,True,Dr Moorthy,Mathivanan,0.92,male,2986
eTj6DU8AAAAJ,Roberto Gómez-Espina,CL,True,Roberto,Gómez-Espina,1,male,986
uhio-RwAAAAJ,Oscar Skewes,CL,True,Oscar,Skewes,0.99,male,756
f85jUscAAAAJ,Jorge Bullemore Campbell,CL,True,Jorge,Bullemore,0.99,male,2344
BKZKziQAAAAJ,Voltaire Alvarado Peterson,CL,True,Voltaire Peterson,Alvarado,0.98,male,1280
8pukACoAAAAJ,Rafael Contreras López,CL,True,Rafael Contreras,López,0.99,male,343
xGG0cMYAAAAJ,Raúl Ramírez-Vielma,CL,True,Raúl,Ramírez-Vielma,1,male,130
6JcV2sAAAAAJ,Megarajan Sengan,CL,True,Megarajan,Sengan,1,male,3
BnDyiscAAAAJ,Fulgencio Lisón (ORCID: 0000-0003-1481-3750),CL,True,Fulgencio Oooo-Ooö-Ia?i-E?so?,Lisón (orcid:,0,unknown,0
I_bRf0YAAAAJ,Jorge Iván Vergara del Solar,CL,True,Jorge Iván Del,Solar,0.99,male,2481
GVzTSwkAAAAJ,Marcela Cartes,CL,True,Marcela,Cartes,0.98,female,1002
6IeCt2UAAAAJ,Johanna Castaño,CL,True,Johanna,Castaño,0.98,female,204
NeThwLMAAAAJ,Sebastian Astroza,CL,True,Sebastian,Astroza,0.99,male,1533
BGf2q1EAAAAJ,Mary Loli Martínez-Aldama,CL,True,Mary,Martínez-Aldama,0.99,female,154
pPuBjOIAAAAJ,Marcelo E. Andia,CL,True,Marcelo,Andia,1,male,1214
2tSZg5cAAAAJ,David Jeison,CL,True,David,Jeison,1,male,1001
qD5pc0cAAAAJ,Maria Pia Santelices,CL,True,Maria Pia,Santelices,0.95,female,21
suIFpaYAAAAJ,Oscar David Hospinal Roman,CL,True,Oscar David,Roman,0.99,male,1757
vK-eCFsAAAAJ,Felipe Ignacio Valdés Abarca,CL,True,Felipe Ignacio,Abarca,0.99,male,3313
wISpAmoAAAAJ,Jesús Daniel Cañizares,CL,True,Jesús Daniel,Cañizares,1,male,1635
7AwPxQkAAAAJ,Boris Padilla-Gaete,CL,True,Boris,Padilla-Gaete,0.99,male,210
KerlV8sAAAAJ,Josiane Teresinha Ribeiro de Souza (Orcid: 0000-0003-0477-7901),CL,True,Josiane Teresinha Ribeiro Oooo-Ooö-Oa??-?god,de Souza,0,unknown,0
R1R4E9gAAAAJ,Omar Ojeda Valenzuela,CL,True,Omar,Valenzuela,1,male,223
VMi-pXoAAAAJ,Edgardo Patricio Toro Quezada,CL,True,Edgardo Patricio,Quezada,1,male,1556
Te23tr8AAAAJ,Giovanni Cocca Guardia,CL,True,Giovanni,Cocca,1,male,110
YQicftUAAAAJ,Pablo Ignacio Cabello Kanisius,CL,True,Pablo Ignacio,Cabello,1,male,2919
iXX3LNMAAAAJ,Jorge Cardenas-Lopera,CL,True,Jorge,Cardenas-Lopera,0.99,male,2344
kADCJpUAAAAJ,Francisca Henríquez-Gangas,CL,True,Francisca,Henríquez-Gangas,0.98,female,1076
qrU6quoAAAAJ,Matías Pérez Evens,CL,True,Matías,Pérez,1,male,183
tDUnufUAAAAJ,Paulina Bravo Contreras,CL,True,Paulina,Contreras,0.98,female,961
uaXS6oYAAAAJ,Osnarci Ramos Borges,CL,True,Borges,Ramos,0.82,male,240
v4Cdk8YAAAAJ,José González Olavarría,CL,True,José,González,0.99,male,385
xjHhr0kAAAAJ,Natalie Rodríguez-Covarrubias,CL,True,Natalie,Rodríguez-Covarrubias,0.99,female,86
HFSWqbkAAAAJ,Soraya Salibe Langenbach,CL,True,Soraya,Langenbach,1,female,38
HLG1ArIAAAAJ,Elizabeth Castillo Alvarez,CL,True,Elizabeth Castillo,Alvarez,0.97,female,672
dkJPekkAAAAJ,Matías Arancibia Flores,CL,True,Matías,Flores,1,male,183
onmfLa0AAAAJ,"PhD, Master, MBA, Dr. Jorge Fuentes Ascencio",CL,True,Jorge,Ascencio,0.99,male,2344
v6iKX8MAAAAJ,Daniela Robles-Tapia,CL,True,Daniela,Robles-Tapia,0.97,female,1780
3OyPpS0AAAAJ,Cristobal Tello-Arriagada,CL,True,Cristobal,Tello-Arriagada,1,male,440
CbcjX5AAAAAJ,Isidora Vicencio Andaur,CL,True,Isidora,Vicencio,0.97,female,116
GB-usfEAAAAJ,Cristóbal Olivares,CL,True,Cristóbal,Olivares,1,male,118
mO0HUeYAAAAJ,Mariana Márquez Morales,CL,True,Mariana,Morales,0.99,female,215
njbH9ucAAAAJ,Camila Colicheo Cabrera,CL,True,Camila,Cabrera,0.98,female,1616
nhmy-rcAAAAJ,Máximo Quiero-Bastías,CL,True,Máximo,Quiero-Bastías,1,male,5
tGVUlYEAAAAJ,CARLOS ROJAS,CL,True,Carlos,Rojas,1,male,2782
wixul14AAAAJ,Pedro Pablo Jofré-Ulloa,CL,True,Pedro Pablo,Jofré-Ulloa,1,male,46
zCVDMaAAAAAJ,Gabriel Astudillo,CL,True,Gabriel,Astudillo,1,male,736
zDerFCkAAAAJ,Lázaro Castro Hernández,CL,True,Lázaro Castro,Hernández,0.93,male,1230
-bQfpW4AAAAJ,DANNY CARGNINO CISTERNAS,CL,True,Danny,Cisternas,0.68,male,85
1Hb3I8YAAAAJ,Bastián Romero,CL,True,Bastián,Romero,1,male,39
81JJ_hgAAAAJ,Antonia Ilabaca,CL,True,Antonia,Ilabaca,0.98,female,215
E7bDT-4AAAAJ,Pablo Ábrego-Calderón,CL,True,Pablo,Ábrego-Calderón,1,male,2045
FasLVr4AAAAJ,Rolando Silva-Jorquera,CL,True,Rolando,Silva-Jorquera,0.99,male,143
FmYnX30AAAAJ,Javier Obreque,CL,True,Javier,Obreque,1,male,1272
HclCBTcAAAAJ,Felipe Gutiérrez Cerda,CL,True,Felipe,Cerda,1,male,2439
